Empresa;Minimo;Maximo;Media
ACCIONA;94.4;96.75;95.58
ACERINOX;8468.0;8672.0;8570.00
ACS;37.22;37.66;37.44
AENA;166.1;167.5;166.80
AMADEUS;69.56;70.64;70.10
ARCELORMIT.;14.08;14318.0;7166.04
BA.SABADELL;1.0165;1033.0;517.01
BA.SANTANDER;4.01;4.0675;4.04
BANKIA;2224.0;2262.0;2243.00
BANKINTER;6522.0;6604.0;6563.00
BBVA;4969.0;5.05;2487.03
CAIXABANK;2762.0;2806.0;2784.00
CELLNEX;30.17;30.7;30.44
CIE AUTOMOT.;23.4;23.74;23.57
ENAGAS;25.07;25.66;25.37
ENCE;3846.0;3974.0;3910.00
ENDESA;22.62;23.03;22.83
FERROVIAL;21.38;21.72;21.55
GRIFOLS CL.A;23.27;23.6;23.44
IAG;5292.0;5.46;2648.73
IBERDROLA;8262.0;8.45;4135.23
INDITEX;24.87;25.19;25.03
INDRA A;9535.0;9685.0;9610.00
INM.COLONIAL;9745.0;9915.0;9830.00
MAPFRE;2.62;2654.0;1328.31
MEDIASET;6446.0;6592.0;6519.00
MELIA HOTELS;8.02;8.19;8.11
MERLIN;11.83;12.08;11.96
NATURGY;26.53;26.77;26.65
R.E.C.;19675.0;19875.0;19775.00
REPSOL;14.46;14605.0;7309.73
SIEMENS GAME;14155.0;14.39;7084.70
TEC.REUNIDAS;22.78;23.2;22.99
TELEFONICA;7185.0;7256.0;7220.50
VISCOFAN;48.46;49.12;48.79
